Name,Quantity,Component
"U1",1," Arduino Uno R3"
"Mfan",1," DC Motor"
"PIRPIR SENSOR",1,"35.4694921260116 , -163.89506252793967 , -106.73274043811158  PIR Sensor"
"PING1",1," Ultrasonic Distance Sensor"
"GAS1",1," Gas Sensor"
"L1, L2",2," Light bulb"
"SERVO1",1,"Positional Micro Servo"
"P1",1,"5 , 5  Power Supply"
"K1, K2",2," Relay SPDT"
"R1",1,"5000 Ω Resistor"
"R2",1," Photoresistor"
"R3",1,"10 kΩ Resistor"
"PIEZO1",1," Piezo"
